method,time,MX,FI91601,FA,L2,LIMS_S905_Water,LIMS_S907_Water,LIMS_S708_Br_Index,LIMS_S708_A9,LIMS_S708_A10,LIMS_S708_Water,LIMS_S708_Sulfur,LIMS_s919_A9,LIMS_s919_A10
Linear,-32.84120757357201,9.0,563.0,0.47,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.61679831019559,9.0,563.0,0.47,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.392389046819176,9.0,563.0,0.47,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.16797978344275,9.0,563.0,0.47,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.943570520066338,9.0,563.0,0.47,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.71916125668992,9.0,563.0,0.47,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.494751993313503,9.0,563.0,0.47,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.270342729937084,9.0,563.0,0.47,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.045933466560665,9.0,563.0,0.47,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.82152420318425,9.0,563.0,0.47,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.59711493980783,9.0,563.0,0.47,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.50044086862107,9.0,563.0,0.471,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.27603160524465,9.0,563.0,0.471,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.05162234186823,9.0,563.0,0.471,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.827213078491816,9.0,563.0,0.471,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.602803815115397,9.0,563.0,0.471,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.378394551738978,9.0,563.0,0.471,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.15398528836256,9.0,563.0,0.471,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.929576024986144,9.0,563.0,0.471,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.705166761609725,9.0,563.0,0.471,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.480757498233306,9.0,563.0,0.471,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.25634823485689,9.0,563.0,0.471,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.15967416367024,9.0,563.0,0.472,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.93526490029382,9.0,563.0,0.472,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.710855636917405,9.0,563.0,0.472,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.486446373540986,9.0,563.0,0.472,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.262037110164567,9.0,563.0,0.472,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.03762784678815,9.0,563.0,0.472,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.813218583411732,9.0,563.0,0.472,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.588809320035313,9.0,563.0,0.472,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.364400056658894,9.0,563.0,0.472,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.13999079328248,9.0,563.0,0.472,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.91558152990606,9.0,563.0,0.472,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.8189074587193,9.0,563.0,0.473,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.59449819534288,9.0,563.0,0.473,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.37008893196646,9.0,563.0,0.473,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.145679668590045,9.0,563.0,0.473,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.921270405213626,9.0,563.0,0.473,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.696861141837207,9.0,563.0,0.473,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.47245187846079,9.0,563.0,0.473,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.248042615084373,9.0,563.0,0.473,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.023633351707954,9.0,563.0,0.473,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.799224088331535,9.0,563.0,0.473,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.57481482495512,9.0,563.0,0.473,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.47814075376841,9.0,563.0,0.474,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.253731490391996,9.0,563.0,0.474,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.029322227015577,9.0,563.0,0.474,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.804912963639158,9.0,563.0,0.474,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.580503700262742,9.0,563.0,0.474,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.356094436886323,9.0,563.0,0.474,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.131685173509904,9.0,563.0,0.474,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.907275910133485,9.0,563.0,0.474,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.68286664675707,9.0,563.0,0.474,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.45845738338065,9.0,563.0,0.474,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.234048120004232,9.0,563.0,0.474,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.137374048817527,9.0,563.0,0.475,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.91296478544111,9.0,563.0,0.475,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.688555522064693,9.0,563.0,0.475,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.464146258688274,9.0,563.0,0.475,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.239736995311855,9.0,563.0,0.475,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.015327731935436,9.0,563.0,0.475,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.79091846855902,9.0,563.0,0.475,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.5665092051826,9.0,563.0,0.475,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.342099941806183,9.0,563.0,0.475,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.117690678429767,9.0,563.0,0.475,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.893281415053348,9.0,563.0,0.475,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.796607343866643,9.0,563.0,0.476,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.572198080490224,9.0,563.0,0.476,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.347788817113805,9.0,563.0,0.476,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.123379553737387,9.0,563.0,0.476,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.89897029036097,9.0,563.0,0.476,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.674561026984552,9.0,563.0,0.476,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.450151763608133,9.0,563.0,0.476,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.225742500231718,9.0,563.0,0.476,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.0013332368553,9.0,563.0,0.476,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.77692397347888,9.0,563.0,0.476,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.552514710102464,9.0,563.0,0.476,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.455840638915756,9.0,563.0,0.477,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.231431375539337,9.0,563.0,0.477,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.00702211216292,9.0,563.0,0.477,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.782612848786503,9.0,563.0,0.477,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.558203585410084,9.0,563.0,0.477,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.33379432203367,9.0,563.0,0.477,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.10938505865725,9.0,563.0,0.477,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.88497579528083,9.0,563.0,0.477,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.660566531904415,9.0,563.0,0.477,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.436157268527996,9.0,563.0,0.477,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.211748005151577,9.0,563.0,0.477,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.115073933964872,9.0,563.0,0.478,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.890664670588453,9.0,563.0,0.478,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.666255407212034,9.0,563.0,0.478,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
