,method,time,PDI91101,FI91601,FA,L2,LIMS_S905_Water,LIMS_S907_Water
0,Polynomial,2.68,0.0,567.08,0.503,0.345,0.0,0.0
1,Polynomial,2.68,0.0,567.08,0.503,0.346,0.0,0.0
2,Polynomial,2.68,0.0,567.08,0.503,0.347,0.0,0.0
3,Polynomial,2.69,0.0,567.08,0.503,0.348,0.0,0.0
4,Polynomial,2.69,0.0,567.08,0.503,0.349,0.0,0.0
5,Polynomial,2.69,0.0,567.08,0.503,0.35,0.0,0.0
6,Polynomial,2.69,0.0,567.08,0.503,0.351,0.0,0.0
7,Polynomial,2.69,0.0,567.08,0.503,0.352,0.0,0.0
8,Polynomial,2.69,0.0,567.08,0.503,0.353,0.0,0.0
9,Polynomial,2.69,0.0,567.08,0.503,0.354,0.0,0.0
10,Polynomial,2.69,0.0,567.08,0.503,0.355,0.0,0.0
11,Polynomial,2.69,0.0,567.08,0.503,0.356,0.0,0.0
12,Polynomial,2.69,0.0,567.08,0.503,0.357,0.0,0.0
13,Polynomial,2.69,0.0,567.08,0.503,0.358,0.0,0.0
14,Polynomial,2.69,0.0,567.08,0.503,0.359,0.0,0.0
15,Polynomial,2.69,0.0,567.08,0.503,0.36,0.0,0.0
16,Polynomial,2.69,0.0,567.08,0.503,0.361,0.0,0.0
17,Polynomial,2.69,0.0,567.08,0.503,0.362,0.0,0.0
18,Polynomial,2.69,0.0,567.08,0.503,0.363,0.0,0.0
19,Polynomial,2.69,0.0,567.08,0.503,0.364,0.0,0.0
20,Polynomial,2.69,0.0,567.08,0.503,0.365,0.0,0.0
21,Polynomial,2.69,0.0,567.08,0.503,0.366,0.0,0.0
22,Polynomial,2.69,0.0,567.08,0.503,0.367,0.0,0.0
23,Polynomial,2.69,0.0,567.08,0.503,0.368,0.0,0.0
24,Polynomial,2.69,0.0,567.08,0.503,0.369,0.0,0.0
25,Polynomial,2.69,0.0,567.08,0.503,0.37,0.0,0.0
26,Polynomial,2.69,0.0,567.08,0.503,0.371,0.0,0.0
27,Polynomial,2.69,0.0,567.08,0.503,0.372,0.0,0.0
28,Polynomial,2.69,0.0,567.08,0.503,0.373,0.0,0.0
29,Polynomial,2.69,0.0,567.08,0.503,0.374,0.0,0.0
30,Polynomial,2.69,0.0,567.08,0.503,0.375,0.0,0.0
31,Polynomial,2.69,0.0,567.08,0.503,0.376,0.0,0.0
32,Polynomial,2.69,0.0,567.08,0.503,0.377,0.0,0.0
33,Polynomial,2.69,0.0,567.08,0.503,0.378,0.0,0.0
34,Polynomial,2.69,0.0,567.08,0.503,0.379,0.0,0.0
35,Polynomial,2.69,0.0,567.08,0.503,0.38,0.0,0.0
36,Polynomial,2.69,0.0,567.08,0.503,0.381,0.0,0.0
37,Polynomial,2.69,0.0,567.08,0.503,0.382,0.0,0.0
38,Polynomial,2.69,0.0,567.08,0.503,0.383,0.0,0.0
39,Polynomial,2.69,0.0,567.08,0.503,0.384,0.0,0.0
40,Polynomial,2.69,0.0,567.08,0.503,0.385,0.0,0.0
41,Polynomial,2.69,0.0,567.08,0.503,0.386,0.0,0.0
42,Polynomial,2.69,0.0,567.08,0.503,0.387,0.0,0.0
43,Polynomial,2.69,0.0,567.08,0.503,0.388,0.0,0.0
44,Polynomial,2.69,0.0,567.08,0.503,0.389,0.0,0.0
45,Polynomial,2.69,0.0,567.08,0.503,0.39,0.0,0.0
46,Polynomial,2.69,0.0,567.08,0.503,0.391,0.0,0.0
47,Polynomial,2.69,0.0,567.08,0.503,0.392,0.0,0.0
48,Polynomial,2.69,0.0,567.08,0.503,0.393,0.0,0.0
49,Polynomial,2.69,0.0,567.08,0.503,0.394,0.0,0.0
50,Polynomial,2.69,0.0,567.08,0.503,0.395,0.0,0.0
51,Polynomial,2.69,0.0,567.08,0.503,0.396,0.0,0.0
52,Polynomial,2.69,0.0,567.08,0.503,0.397,0.0,0.0
53,Polynomial,2.69,0.0,567.08,0.503,0.398,0.0,0.0
54,Polynomial,2.69,0.0,567.08,0.503,0.399,0.0,0.0
55,Polynomial,2.69,0.0,567.08,0.503,0.4,0.0,0.0
